epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3017,0.59567,2.77235,1.08396,0.02733,1,0.995,0.82952,0.73238,2.29927,0.6113,0.00064,0.00064,0.00064
2,71.3906,0.57959,1.50643,1.02347,0.02293,1,0.995,0.83805,0.71338,2.04941,0.57428,0.0010426,0.0010426,0.0010426
3,107.904,0.51034,0.7404,1.03329,0.99954,1,0.995,0.78744,0.81161,1.19342,0.63035,0.00118384,0.00118384,0.00118384
4,138.441,0.43845,0.57549,1.01697,0.99978,1,0.995,0.89142,0.60103,0.74846,0.66322,0.000812,0.000812,0.000812
5,168.636,0.37143,0.50041,0.99198,0.99984,1,0.995,0.82379,0.6619,0.65873,0.64577,0.000416,0.000416,0.000416
