epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6733,0.67657,2.83937,1.03257,0.01222,0.95339,0.24143,0.1945,0.90852,3.02576,0.65128,0.000465256,0.000465256,0.000465256
2,79.738,0.72928,1.41029,0.99593,1,0.25531,0.43403,0.32846,0.66978,2.50029,1.0052,0.000848372,0.000848372,0.000848372
3,120.274,0.60783,0.74719,0.97307,0.85446,0.69639,0.82847,0.62153,0.69873,1.09521,1.03898,0.00113717,0.00113717,0.00113717
4,158.458,0.53195,0.57487,0.96313,0.75183,0.83661,0.91604,0.65864,0.62552,1.03963,0.99321,0.00100459,0.00100459,0.00100459
5,197.985,0.47518,0.49658,0.93009,0.92049,0.88661,0.94346,0.67753,0.56453,0.63884,0.98675,0.000863116,0.000863116,0.000863116
6,237.42,0.43769,0.41994,0.93766,0.83119,0.89484,0.96841,0.75514,0.55854,0.71003,0.96651,0.000721645,0.000721645,0.000721645
7,275.008,0.41509,0.37184,0.93329,0.95067,0.91338,0.97258,0.76449,0.47768,0.53129,0.93888,0.000580174,0.000580174,0.000580174
8,308.227,0.3904,0.35744,0.9263,0.90007,0.96639,0.97086,0.76817,0.46826,0.53449,0.94019,0.000438703,0.000438703,0.000438703
9,339.678,0.38924,0.32693,0.91243,0.86747,0.94525,0.97184,0.78034,0.46602,0.53969,0.94666,0.000297232,0.000297232,0.000297232
10,376.292,0.36499,0.3211,0.91365,0.88352,0.92496,0.96738,0.7643,0.45108,0.51894,0.93607,0.000155761,0.000155761,0.000155761
