epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0281,0.70307,2.85382,1.0363,0.01207,0.95031,0.24158,0.21206,0.67006,3.01969,0.61491,0.000464425,0.000464425,0.000464425
2,100.122,0.73074,1.44843,0.97338,0.02911,0.90468,0.31241,0.2517,0.73772,2.60168,0.88948,0.000847623,0.000847623,0.000847623
3,149.17,0.59773,0.77245,0.96689,0.97617,0.3895,0.80225,0.56989,0.71186,1.08078,1.03425,0.00113651,0.00113651,0.00113651
4,193.366,0.5133,0.58524,0.96058,0.75941,0.84535,0.89286,0.66079,0.60779,0.78699,1.00315,0.00100459,0.00100459,0.00100459
5,237.079,0.47991,0.47025,0.93474,0.88369,0.90967,0.91451,0.66869,0.53546,0.63707,0.96839,0.000863116,0.000863116,0.000863116
6,282.376,0.44421,0.42054,0.92937,0.93929,0.9823,0.98759,0.74969,0.52175,0.55451,0.96774,0.000721645,0.000721645,0.000721645
7,338.272,0.42573,0.38965,0.92351,0.87429,0.92339,0.95336,0.72817,0.49498,0.60826,0.93856,0.000580174,0.000580174,0.000580174
8,397.711,0.40518,0.35992,0.91606,0.93939,0.96078,0.9744,0.73057,0.49812,0.46341,0.94414,0.000438703,0.000438703,0.000438703
9,458.046,0.3815,0.34053,0.91157,0.95626,0.96681,0.98603,0.74591,0.49348,0.42521,0.94002,0.000297232,0.000297232,0.000297232
10,514.83,0.36965,0.31803,0.91506,0.96523,0.90707,0.96894,0.73382,0.45992,0.43509,0.93154,0.000155761,0.000155761,0.000155761
