epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,842.655,0.76801,2.86403,1.33707,0.83636,0.99501,0.9788,0.73349,0.68797,3.71421,1.50914,0.000405093,0.000405093,0.000405093
2,1653.34,0.76179,1.44705,1.28272,0.99819,0.92009,0.99321,0.75516,0.82925,2.73301,1.8637,0.000813624,0.000813624,0.000813624
3,2483.46,0.75584,0.96146,1.28116,0.99586,0.79971,0.99123,0.76562,0.8228,2.51008,1.8619,0.00121391,0.00121391,0.00121391
4,3157.29,0.70343,0.83404,1.24252,0.96174,0.96339,0.98809,0.78195,0.7416,2.05159,1.59928,0.00121287,0.00121287,0.00121287
5,3770.91,0.7363,0.75523,1.25189,0.98794,0.95451,0.99132,0.76802,0.80513,1.28436,1.63014,0.0012005,0.0012005,0.0012005
6,4389.73,0.68495,0.70756,1.21051,0.98026,0.99164,0.99205,0.7961,0.83514,1.23068,1.66227,0.00118812,0.00118812,0.00118812
7,5002.85,0.70287,0.64022,1.21763,0.98766,0.99334,0.99366,0.7984,0.76387,0.90481,1.55646,0.00117575,0.00117575,0.00117575
8,5592.89,0.67042,0.60946,1.19445,0.98488,0.9754,0.99281,0.83525,0.67741,0.788,1.45046,0.00116337,0.00116337,0.00116337
9,6194.5,0.63814,0.56583,1.18236,0.98598,0.98835,0.99419,0.85451,0.61812,0.72052,1.37298,0.001151,0.001151,0.001151
10,6797.33,0.65225,0.53402,1.17662,0.9983,1,0.99364,0.80618,0.74335,0.68038,1.52524,0.00113863,0.00113863,0.00113863
11,7391.89,0.63512,0.52213,1.18713,0.99292,1,0.99324,0.83967,0.64692,0.59299,1.39155,0.00112625,0.00112625,0.00112625
12,7960.6,0.62549,0.4916,1.16361,0.96152,0.99783,0.98937,0.82942,0.65564,0.6422,1.37605,0.00111388,0.00111388,0.00111388
13,8536.23,0.62472,0.47738,1.17385,0.99626,1,0.99448,0.84209,0.63857,0.5542,1.36775,0.0011015,0.0011015,0.0011015
14,9123.6,0.60694,0.45496,1.15362,0.99816,1,0.99367,0.85411,0.61138,0.49725,1.36157,0.00108913,0.00108913,0.00108913
15,9716.57,0.60526,0.44735,1.15162,0.9975,1,0.99432,0.86802,0.56071,0.43998,1.28707,0.00107675,0.00107675,0.00107675
16,10320.4,0.60606,0.44767,1.1471,0.9931,1,0.99442,0.79737,0.74595,0.48494,1.59236,0.00106437,0.00106437,0.00106437
17,10934,0.59997,0.43512,1.15109,0.99808,1,0.99452,0.85511,0.60808,0.43534,1.32848,0.001052,0.001052,0.001052
18,11543.6,0.59239,0.42433,1.14758,0.99821,1,0.9938,0.85932,0.58199,0.40785,1.31765,0.00103962,0.00103962,0.00103962
19,12159.9,0.59629,0.42537,1.13686,0.99822,1,0.99452,0.86111,0.58869,0.40263,1.34462,0.00102725,0.00102725,0.00102725
20,12780.5,0.58875,0.40096,1.14081,0.99632,1,0.99399,0.8634,0.57752,0.39966,1.30921,0.00101488,0.00101488,0.00101488
21,13399.4,0.59051,0.40618,1.13883,0.99834,0.99982,0.99467,0.86397,0.61847,0.42004,1.35104,0.0010025,0.0010025,0.0010025
22,14017.6,0.591,0.40322,1.14005,0.99819,1,0.99372,0.84677,0.61108,0.3966,1.3256,0.000990125,0.000990125,0.000990125
23,14570.8,0.5618,0.38647,1.11465,0.99812,1,0.99478,0.87676,0.54627,0.37472,1.27413,0.00097775,0.00097775,0.00097775
24,15071.4,0.57006,0.38276,1.12726,0.99834,0.99944,0.99468,0.8572,0.60667,0.37749,1.31669,0.000965375,0.000965375,0.000965375
25,15570.7,0.56797,0.39198,1.12971,0.99822,1,0.9947,0.87987,0.55181,0.35921,1.26634,0.000953,0.000953,0.000953
26,16070.8,0.5628,0.37526,1.10828,0.99823,1,0.99389,0.87273,0.53671,0.33307,1.25785,0.000940625,0.000940625,0.000940625
27,16569.6,0.55046,0.36813,1.12697,0.99822,1,0.99475,0.85572,0.58891,0.36202,1.31121,0.00092825,0.00092825,0.00092825
28,17069.8,0.55747,0.37087,1.11623,0.99822,1,0.99397,0.87951,0.534,0.30896,1.25075,0.000915875,0.000915875,0.000915875
29,17569.3,0.54016,0.35701,1.0996,0.99821,1,0.99355,0.87498,0.55733,0.32158,1.28295,0.0009035,0.0009035,0.0009035
30,18072.7,0.53872,0.35533,1.09857,0.99823,1,0.99439,0.87483,0.57777,0.30997,1.30486,0.000891125,0.000891125,0.000891125
