epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.6676,0.6497,2.80328,1.02478,0.02005,0.96526,0.28633,0.25471,0.72059,2.99087,0.63142,0.00046641,0.00046641,0.00046641
2,227.277,0.66475,1.36058,0.98317,0.7789,0.4125,0.72672,0.53247,0.65727,1.85141,0.93657,0.000849411,0.000849411,0.000849411
3,336.946,0.56283,0.74198,0.9734,0.77079,0.85902,0.95266,0.6986,0.59319,1.15582,0.89772,0.0011381,0.0011381,0.0011381
4,446.758,0.53298,0.60107,0.9634,0.74005,0.85145,0.76778,0.55831,0.65819,2.08739,0.90962,0.00100459,0.00100459,0.00100459
5,566.007,0.45534,0.49062,0.94461,0.74749,0.81745,0.75246,0.55716,0.62212,1.15573,0.96058,0.000863116,0.000863116,0.000863116
6,678.808,0.43934,0.44447,0.9305,0.78854,0.87016,0.84576,0.61629,0.54046,0.8894,0.93447,0.000721645,0.000721645,0.000721645
7,768.104,0.40316,0.39154,0.93158,0.83761,0.85668,0.86256,0.64684,0.56297,0.88977,0.92782,0.000580174,0.000580174,0.000580174
8,859.633,0.38794,0.36486,0.92748,0.81971,0.9163,0.88232,0.68932,0.53283,0.87329,0.93185,0.000438703,0.000438703,0.000438703
9,949.039,0.3603,0.32788,0.92882,0.82693,0.92157,0.85554,0.65981,0.55244,0.88844,0.9102,0.000297232,0.000297232,0.000297232
10,1036.24,0.35544,0.32196,0.92669,0.8107,0.92127,0.84555,0.6708,0.50638,0.83462,0.92208,0.000155761,0.000155761,0.000155761
