epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,852.608,1.17412,4.5913,2.19971,0.05958,0.8605,0.38076,0.2242,1.11024,4.74784,3.05752,0.000405093,0.000405093,0.000405093
2,1882.12,0.75974,3.1526,1.78744,0.01409,1,0.67258,0.41887,0.86398,4.33965,2.51048,0.000740405,0.000740405,0.000740405
3,2825.5,0.67385,2.47456,1.6723,0.63776,0.30824,0.81129,0.63375,0.796,3.59818,2.14297,0.000993218,0.000993218,0.000993218
4,3687,0.63269,2.189,1.60453,0.6178,0.86024,0.82233,0.5862,0.9604,2.48777,2.63814,0.00087875,0.00087875,0.00087875
5,4575.95,0.57501,1.81663,1.54259,0.95945,0.98001,0.9919,0.82199,0.73469,1.92014,1.9729,0.000755,0.000755,0.000755
6,5443.17,0.5538,1.5449,1.48996,0.93527,0.96402,0.99335,0.85267,0.64316,1.60456,1.77945,0.00063125,0.00063125,0.00063125
7,6253.83,0.50338,1.36739,1.4089,0.89864,0.95403,0.97849,0.83695,0.63119,1.48362,1.69692,0.0005075,0.0005075,0.0005075
8,7008.16,0.47132,1.24813,1.36964,0.93769,0.94077,0.99015,0.85457,0.60063,1.34444,1.65001,0.00038375,0.00038375,0.00038375
9,7750.83,0.47041,1.15131,1.36323,0.96324,0.98309,0.99318,0.86289,0.60319,1.23364,1.63413,0.00026,0.00026,0.00026
10,8674.84,0.43476,1.08858,1.31566,0.9686,0.98248,0.99345,0.87767,0.5803,1.21492,1.59383,0.00013625,0.00013625,0.00013625
